date,countryiso3code,SH.XPD.CHEX.PC.CD,SH.XPD.CHEX.GD.ZS,SP.ADO.TFRT,SP.POP.GROW,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.TFRT.IN,SP.DYN.LE00.IN,SP.DYN.IMRT.IN,SH.STA.SUIC.P5,NCD_BMI_25A,NY.GDP.MKTP.KN,NCD_HYP_PREVALENCE_A
1995,MEX,562.514465332031,7.28289985656738,83.69,165760764044424.0,91663290,26.096,3.018,72.598,29.5,4.91704893112183,157.4,9996720538000,95.6
1995,PER,366.138671875,6.69680595397949,76.4246,185989856247358.0,24299168,26.667,3.315,68.903,42.7,3.56087446212769,135.9,195536000000,60.1
1996,ARG,743.581909179688,9.00831890106201,70.5518,119362308026821.0,35246376,20.545,2.718,72.843,20.5,8.50822448730469,156.5,445986656500,116.4
1996,BRA,524.096862792969,8.56689739227295,84.155,158883830194468.0,164614682,22.022,2.536,68.695,38.7,4.22362232208252,128.7,248787330094828,124.8
1996,CHL,552.063110351563,6.73867797851563,65.9872,142574462388832.0,14587367,19.124,2.306,75.244,10.6,7.55342674255371,156.3,81635498606800,114.7
1996,COL,424.625549316406,7.00408935546875,100.6432,178227406582073.0,37076387,24.52,2.802,71.497,24.1,4.47643375396729,140.7,419755281965700,90.5
1996,MEX,564.27783203125,7.22334957122803,83.335,160574015606866.0,93147045,25.611,2.946,72.925,28.2,4.96316337585449,159.4,10673824281000,97.1
1996,PER,356.496246337891,6.46196174621582,75.1478,185379114511081.0,24753825,25.877,3.203,69.378,39.8,3.52758979797363,137.8,201009000000,60.0
1997,ARG,744.684509277344,8.96142578125,69.801,115950491868107.0,35657438,20.229,2.666,73.029,19.7,8.53516578674316,158.3,482160842800,117.3
1997,BRA,527.002136230469,8.50717830657959,84.262,156373197369546.0,167209046,21.601,2.483,69.061,36.5,4.29212951660156,131.0,257233276782527,126.0
1997,CHL,550.849670410156,6.67031288146973,65.363,135402592013222.0,14786227,18.421,2.238,75.53,10.3,7.55649566650391,158.0,87669781814300,115.4
1997,COL,426.546936035156,6.96419477462769,100.922,173109765499368.0,37723803,23.935,2.742,71.887,23.3,4.51921319961548,142.7,434154120867200,91.2
1997,MEX,566.173278808594,7.16873264312744,82.98,15594459407437.0,94611008,25.148,2.88,73.268,27.0,5.00997543334961,161.4,11404645262000,98.3
